Market_Year,Algeria,Angola,Argentina,Australia,Benin,Bolivia,Brazil,Burundi,Cameroon,Canada,Central African Republic,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Democratic Republic of the Congo,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Ethiopia,European Union,Gabon,Ghana,Guatemala,Guinea,Guyana,Haiti,Honduras,India,Indonesia,Iran,Ivory Coast,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Laos,Liberia,Madagascar,Malawi,Malaysia,Mexico,Morocco,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Republic of Congo,Republic of Serbia,Russia,Rwanda,Sierra Leone,Singapore,South Africa,South Korea,Sri Lanka,Switzerland,Taiwan,Tanzania,Thailand,Togo,Trinidad and Tobago,Turkey,Uganda,Ukraine,United States of America,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961,0.0,60.0,0.0,0.0,1.0,11.0,9001.0,1.0,0.0,0.0,2.0,0.0,0.0,1030.0,106.0,0.0,612.0,65.0,195.0,94.0,0.0,104.0,10.0,750.0,0.0,1.0,4.0,180.0,2.0,1.0,174.0,66.0,682.0,689.0,0.0,2.0,7.0,0.0,0.0,0.0,14.0,0.0,1.0,140.0,0.0,117.0,600.0,0.0,5.0,0.0,52.0,16.0,0.0,48.0,1.0,17.0,160.0,459.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,96.0,1.0,8.0,0.0,6.0,0.0,287.0,480.0,36.0,10.0,5.0,5.0
1962,0.0,63.0,0.0,0.0,1.0,12.0,13220.0,1.0,1.0,0.0,2.0,0.0,0.0,1062.0,110.0,0.0,620.0,70.0,201.0,98.0,0.0,106.0,10.0,792.0,0.0,1.0,4.0,187.0,2.0,1.0,176.0,68.0,610.0,706.0,0.0,150.0,8.0,0.0,0.0,0.0,15.0,0.0,1.0,141.0,0.0,101.0,819.0,0.0,5.0,0.0,54.0,17.0,0.0,52.0,2.0,14.0,163.0,497.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,84.0,1.0,8.0,0.0,7.0,0.0,247.0,488.0,36.0,10.0,5.0,5.0
1963,0.0,64.0,0.0,0.0,1.0,12.0,6741.0,1.0,1.0,0.0,2.0,0.0,0.0,1095.0,113.0,0.0,612.0,75.0,208.0,101.0,0.0,110.0,10.0,845.0,0.0,1.0,5.0,194.0,2.0,1.0,186.0,71.0,615.0,724.0,0.0,6.0,8.0,0.0,0.0,0.0,17.0,0.0,1.0,143.0,0.0,96.0,950.0,0.0,5.0,0.0,56.0,18.0,0.0,56.0,2.0,15.0,165.0,489.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,91.0,1.0,9.0,0.0,8.0,0.0,282.0,495.0,36.0,10.0,5.0,5.0
1964,0.0,67.0,0.0,0.0,1.0,13.0,9520.0,1.0,0.0,0.0,3.0,0.0,0.0,1129.0,117.0,0.0,575.0,80.0,214.0,105.0,0.0,122.0,10.0,877.0,0.0,1.0,5.0,200.0,2.0,1.0,184.0,73.0,630.0,742.0,0.0,6.0,9.0,0.0,0.0,0.0,18.0,0.0,2.0,145.0,0.0,84.0,1101.0,0.0,5.0,0.0,58.0,16.0,0.0,56.0,2.0,15.0,173.0,485.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,86.0,1.0,9.0,0.0,9.0,0.0,246.0,499.0,35.0,10.0,5.0,6.0
1965,0.0,70.0,0.0,0.0,1.0,13.0,8131.0,1.0,1.0,0.0,3.0,0.0,0.0,1164.0,120.0,0.0,550.0,85.0,221.0,108.0,0.0,125.0,10.0,932.0,0.0,1.0,6.0,210.0,2.0,6.0,188.0,75.0,637.0,761.0,0.0,9.0,12.0,0.0,0.0,0.0,19.0,0.0,2.0,146.0,0.0,88.0,1240.0,0.0,6.0,0.0,60.0,23.0,0.0,52.0,3.0,16.0,176.0,501.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,4.0,85.0,1.0,9.0,0.0,10.0,0.0,279.0,510.0,36.0,10.0,5.0,6.0
1966,0.0,72.0,0.0,0.0,1.0,14.0,8100.0,1.0,1.0,0.0,4.0,0.0,0.0,1200.0,124.0,0.0,460.0,90.0,228.0,113.0,0.0,130.0,11.0,967.0,0.0,1.0,6.0,215.0,3.0,18.0,194.0,78.0,691.0,781.0,0.0,884.0,13.0,0.0,0.0,0.0,20.0,0.0,3.0,147.0,0.0,108.0,1300.0,0.0,6.0,0.0,62.0,25.0,0.0,53.0,3.0,16.0,182.0,523.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,101.0,1.0,8.0,0.0,11.0,0.0,270.0,528.0,36.0,10.0,5.0,6.0
1967,0.0,75.0,0.0,0.0,1.0,15.0,8620.0,1.0,3.0,0.0,4.0,0.0,0.0,1238.0,128.0,0.0,480.0,95.0,235.0,116.0,0.0,136.0,10.0,1005.0,0.0,1.0,7.0,220.0,3.0,18.0,198.0,80.0,694.0,801.0,0.0,1550.0,12.0,0.0,0.0,0.0,21.0,0.0,3.0,149.0,0.0,105.0,1350.0,0.0,7.0,0.0,64.0,20.0,0.0,78.0,4.0,17.0,193.0,520.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,117.0,1.0,9.0,0.0,12.0,0.0,271.0,550.0,36.0,10.0,6.0,6.0
1968,0.0,78.0,0.0,0.0,1.0,16.0,8750.0,1.0,12.0,0.0,5.0,0.0,0.0,1279.0,132.0,0.0,450.0,100.0,242.0,120.0,0.0,140.0,11.0,1045.0,0.0,1.0,7.0,227.0,3.0,18.0,202.0,82.0,700.0,823.0,0.0,12.0,13.0,0.0,0.0,0.0,22.0,0.0,3.0,150.0,0.0,113.0,1400.0,0.0,7.0,0.0,66.0,17.0,0.0,54.0,4.0,17.0,202.0,528.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,115.0,1.0,9.0,0.0,14.0,0.0,261.0,570.0,36.0,10.0,6.0,7.0
1969,0.0,81.0,0.0,0.0,1.0,17.0,8750.0,1.0,14.0,0.0,6.0,0.0,0.0,1301.0,136.0,0.0,500.0,105.0,249.0,125.0,0.0,145.0,11.0,1080.0,0.0,1.0,8.0,235.0,3.0,18.0,206.0,85.0,739.0,844.0,0.0,1270.0,14.0,0.0,0.0,0.0,22.0,0.0,4.0,152.0,0.0,109.0,1450.0,0.0,8.0,0.0,68.0,22.0,0.0,56.0,5.0,18.0,210.0,518.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,103.0,1.0,11.0,0.0,16.0,0.0,282.0,592.0,36.0,10.0,6.0,7.0
1970,0.0,85.0,0.0,0.0,1.0,18.0,8740.0,1.0,17.0,0.0,7.0,0.0,0.0,1300.0,140.0,0.0,500.0,110.0,257.0,131.0,0.0,147.0,10.0,1120.0,0.0,1.0,9.0,230.0,4.0,16.0,210.0,87.0,712.0,866.0,0.0,401.0,18.0,0.0,0.0,0.0,25.0,0.0,5.0,153.0,0.0,93.0,1450.0,0.0,8.0,0.0,70.0,22.0,0.0,58.0,6.0,18.0,217.0,534.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,92.0,1.0,10.0,0.0,17.0,0.0,289.0,635.0,36.0,10.0,6.0,7.0
1971,0.0,89.0,0.0,0.0,1.0,20.0,8890.0,1.0,25.0,0.0,8.0,0.0,0.0,1349.0,144.0,0.0,475.0,115.0,265.0,134.0,0.0,158.0,10.0,1170.0,0.0,1.0,10.0,246.0,4.0,11.0,214.0,90.0,665.0,888.0,0.0,538.0,20.0,0.0,0.0,0.0,24.0,0.0,5.0,155.0,0.0,100.0,1512.0,0.0,9.0,0.0,73.0,36.0,0.0,58.0,8.0,18.0,220.0,496.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,17.0,93.0,1.0,9.0,0.0,18.0,0.0,305.0,638.0,31.0,10.0,6.0,7.0
1972,0.0,92.0,0.0,0.0,1.0,22.0,8829.0,1.0,26.0,0.0,9.0,0.0,0.0,1360.0,149.0,0.0,460.0,120.0,273.0,140.0,0.0,160.0,11.0,1225.0,0.0,1.0,11.0,250.0,4.0,12.0,218.0,93.0,723.0,910.0,0.0,24.0,22.0,0.0,0.0,0.0,26.0,0.0,7.0,158.0,0.0,107.0,1550.0,0.0,9.0,0.0,75.0,35.0,0.0,60.0,10.0,19.0,230.0,490.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,18.0,87.0,1.0,11.0,0.0,19.0,0.0,299.0,644.0,31.0,10.0,6.0,8.0
1973,0.0,97.0,0.0,0.0,1.0,24.0,7000.0,1.0,26.0,0.0,10.0,0.0,0.0,1370.0,153.0,0.0,475.0,130.0,281.0,144.0,0.0,168.0,10.0,1270.0,0.0,1.0,12.0,263.0,4.0,12.0,223.0,95.0,758.0,933.0,0.0,41.0,16.0,0.0,0.0,0.0,26.0,0.0,6.0,160.0,0.0,114.0,1500.0,0.0,9.0,0.0,76.0,52.0,0.0,61.0,9.0,20.0,230.0,490.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,21.0,82.0,1.0,12.0,0.0,22.0,0.0,318.0,701.0,31.0,10.0,6.0,8.0
1974,0.0,89.0,0.0,0.0,1.0,26.0,7000.0,1.0,26.0,0.0,11.0,0.0,0.0,1440.0,158.0,0.0,500.0,140.0,290.0,150.0,0.0,171.0,10.0,1346.0,0.0,1.0,13.0,274.0,5.0,10.0,227.0,98.0,727.0,985.0,0.0,1180.0,16.0,0.0,0.0,0.0,29.0,0.0,7.0,162.0,0.0,121.0,1610.0,0.0,10.0,0.0,78.0,65.0,0.0,62.0,10.0,20.0,240.0,487.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,24.0,94.0,1.0,13.0,0.0,25.0,0.0,307.0,710.0,31.0,10.0,6.0,9.0
1975,0.0,73.0,0.0,0.0,1.0,29.0,7500.0,1.0,26.0,0.0,12.0,0.0,0.0,1501.0,153.0,0.0,400.0,150.0,298.0,157.0,0.0,177.0,10.0,1437.0,0.0,1.0,15.0,283.0,5.0,15.0,230.0,101.0,661.0,1010.0,0.0,848.0,18.0,0.0,0.0,0.0,18.0,0.0,8.0,165.0,0.0,128.0,1650.0,0.0,11.0,0.0,80.0,54.0,0.0,63.0,10.0,20.0,250.0,404.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,26.0,98.0,1.0,10.0,0.0,29.0,0.0,321.0,672.0,30.0,10.0,6.0,9.0
1976,0.0,60.0,0.0,0.0,1.0,29.0,8000.0,1.0,27.0,0.0,11.0,0.0,0.0,1400.0,172.0,0.0,400.0,155.0,285.0,165.0,0.0,180.0,10.0,1600.0,0.0,1.0,15.0,290.0,6.0,15.0,225.0,104.0,749.0,1026.0,0.0,159.0,14.0,0.0,0.0,0.0,20.0,0.0,5.0,168.0,0.0,101.0,1700.0,0.0,10.0,0.0,76.0,69.0,0.0,63.0,11.0,21.0,250.0,343.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,25.0,92.0,1.0,12.0,0.0,32.0,0.0,344.0,701.0,24.0,10.0,6.0,9.0
1977,0.0,52.0,0.0,0.0,1.0,28.0,7500.0,1.0,26.0,0.0,11.0,0.0,0.0,1400.0,184.0,0.0,400.0,160.0,246.0,175.0,0.0,185.0,10.0,1733.0,0.0,1.0,15.0,298.0,6.0,17.0,216.0,104.0,850.0,1000.0,0.0,85.0,11.0,0.0,0.0,0.0,43.0,0.0,5.0,170.0,0.0,101.0,1548.0,0.0,9.0,0.0,78.0,133.0,0.0,65.0,13.0,21.0,250.0,308.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,25.0,90.0,1.0,15.0,0.0,35.0,0.0,286.0,467.0,30.0,10.0,6.0,9.0
1978,0.0,48.0,0.0,0.0,1.0,31.0,7500.0,1.0,27.0,0.0,12.0,0.0,0.0,1550.0,185.0,0.0,400.0,165.0,270.0,195.0,0.0,190.0,9.0,1789.0,0.0,1.0,10.0,305.0,6.0,18.0,215.0,105.0,850.0,1025.0,0.0,36.0,7.0,0.0,0.0,0.0,50.0,0.0,6.0,175.0,0.0,125.0,1300.0,0.0,5.0,0.0,80.0,113.0,0.0,67.0,11.0,21.0,250.0,325.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,11.0,0.0,0.0,21.0,105.0,1.0,14.0,0.0,37.0,0.0,303.0,790.0,35.0,10.0,6.0,8.0
1979,0.0,45.0,0.0,0.0,1.0,33.0,8000.0,1.0,28.0,0.0,12.0,0.0,0.0,1630.0,216.0,0.0,400.0,170.0,280.0,203.0,0.0,195.0,8.0,1710.0,0.0,1.0,8.0,310.0,6.0,19.0,215.0,108.0,808.0,1050.0,0.0,18.0,9.0,0.0,0.0,0.0,58.0,0.0,6.0,179.0,0.0,143.0,1107.0,0.0,11.0,0.0,83.0,183.0,0.0,68.0,11.0,21.0,250.0,357.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,20.0,105.0,1.0,15.0,0.0,39.0,0.0,303.0,939.0,35.0,10.0,6.0,8.0
1980,0.0,40.0,0.0,0.0,1.0,34.0,8000.0,1.0,32.0,0.0,14.0,0.0,0.0,1750.0,211.0,0.0,400.0,175.0,285.0,211.0,0.0,200.0,8.0,1633.0,0.0,1.0,8.0,311.0,6.0,20.0,220.0,114.0,896.0,1080.0,0.0,19.0,12.0,0.0,0.0,0.0,63.0,0.0,6.0,185.0,0.0,158.0,1290.0,0.0,10.0,0.0,83.0,169.0,0.0,66.0,13.0,22.0,250.0,405.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,17.0,110.0,1.0,16.0,0.0,41.0,0.0,329.0,967.0,35.0,10.0,6.0,9.0
